통계표,"8.1.1 국제수지","8.1.1 국제수지"
항목명1,"    상품수출","    상품수입(FOB)"
단위,"백만달러 ","백만달러 "
변환,"원자료","원자료"
1980/01,"884.5","1,523.4"
1980/02,"1,077.2","1,556.5"
1980/03,"1,258.4","1,922.4"
1980/04,"1,154.9","1,777.5"
1980/05,"1,223.0","1,755.5"
1980/06,"1,350.0","1,654.3"
1980/07,"1,279.8","1,956.1"
1980/08,"1,301.5","1,892.3"
1980/09,"1,234.2","1,656.4"
1980/10,"1,493.3","1,980.5"
1980/11,"1,247.9","1,736.6"
1980/12,"1,510.6","2,167.2"
1981/01,"1,283.4","1,675.6"
1981/02,"1,419.5","1,902.6"
1981/03,"1,556.8","1,998.2"
1981/04,"1,539.0","2,127.3"
1981/05,"1,418.0","2,011.0"
1981/06,"1,804.7","2,041.4"
1981/07,"1,621.9","2,253.0"
1981/08,"1,409.5","1,953.0"
1981/09,"1,488.0","1,836.1"
1981/10,"1,546.6","1,880.5"
1981/11,"1,339.4","1,831.1"
1981/12,"1,587.7","2,706.3"
1982/01,"1,232.0","1,726.1"
1982/02,"1,369.1","1,572.1"
1982/03,"1,531.9","1,884.1"
1982/04,"1,457.0","1,989.0"
1982/05,"1,461.2","1,728.9"
1982/06,"1,440.5","2,052.0"
1982/07,"1,410.6","1,774.8"
1982/08,"1,337.5","1,962.9"
1982/09,"1,466.2","2,168.2"
1982/10,"1,176.7","1,877.5"
1982/11,"1,168.0","1,968.2"
1982/12,"1,636.6","2,347.3"
1983/01,"1,122.6","1,642.7"
1983/02,"1,291.3","1,998.8"
1983/03,"1,473.9","1,927.4"
1983/04,"1,736.0","1,803.8"
1983/05,"1,477.2","1,915.3"
1983/06,"1,498.1","1,988.6"
1983/07,"1,782.2","1,878.7"
1983/08,"1,650.4","1,854.2"
1983/09,"1,624.4","1,929.3"
1983/10,"1,608.7","2,019.5"
1983/11,"1,835.3","1,997.8"
1983/12,"1,901.1","2,426.7"
1984/01,"1,639.5","1,986.7"
1984/02,"1,565.5","1,798.6"
1984/03,"1,954.6","2,059.5"
1984/04,"1,657.8","1,989.3"
1984/05,"1,779.9","2,227.3"
1984/06,"1,727.3","2,066.1"
1984/07,"1,888.0","2,085.1"
1984/08,"2,057.9","2,297.3"
1984/09,"1,945.9","1,977.4"
1984/10,"2,062.8","2,064.8"
1984/11,"1,849.6","2,003.9"
1984/12,"2,217.3","2,075.6"
1985/01,"1,487.2","2,036.9"
1985/02,"1,574.5","1,777.8"
1985/03,"1,832.6","1,888.7"
1985/04,"1,692.6","1,912.5"
1985/05,"1,757.2","2,082.3"
1985/06,"1,917.0","1,983.0"
1985/07,"1,891.7","1,917.8"
1985/08,"1,667.8","1,929.3"
1985/09,"1,893.1","1,806.5"
1985/10,"1,644.4","1,984.0"
1985/11,"1,546.2","2,098.8"
1985/12,"1,867.2","1,607.5"
1986/01,"1,860.1","2,238.5"
1986/02,"1,985.0","2,274.0"
1986/03,"2,483.5","2,313.9"
1986/04,"2,622.8","2,370.8"
1986/05,"2,464.4","2,486.0"
1986/06,"2,637.3","2,312.5"
1986/07,"2,678.6","2,448.8"
1986/08,"2,710.1","2,379.5"
1986/09,"2,828.5","2,344.1"
1986/10,"2,846.4","2,559.8"
1986/11,"2,850.2","2,288.6"
1986/12,"3,193.1","3,011.3"
1987/01,"2,687.0","2,213.7"
1987/02,"2,849.7","2,546.1"
1987/03,"3,265.0","2,934.2"
1987/04,"3,449.1","3,136.2"
1987/05,"3,727.1","3,300.6"
1987/06,"3,931.6","3,223.1"
1987/07,"3,951.9","3,198.8"
1987/08,"3,117.2","3,203.7"
1987/09,"4,033.8","3,332.7"
1987/10,"3,660.8","3,188.3"
1987/11,"4,308.2","3,502.0"
1987/12,"4,726.9","3,951.0"
1988/01,"3,801.7","3,269.6"
1988/02,"3,851.6","3,262.0"
1988/03,"4,629.4","3,835.3"
1988/04,"4,379.5","3,832.7"
1988/05,"4,388.5","3,826.8"
1988/06,"4,822.1","3,918.9"
1988/07,"4,856.1","3,947.9"
1988/08,"4,773.3","4,330.5"
1988/09,"4,962.0","3,913.0"
1988/10,"4,958.4","4,030.8"
1988/11,"5,101.4","4,186.1"
1988/12,"5,829.0","4,283.3"
1989/01,"4,154.9","3,932.6"
1989/02,"4,100.0","3,868.7"
1989/03,"5,082.9","4,704.9"
1989/04,"4,475.6","4,266.5"
1989/05,"4,724.2","4,562.9"
1989/06,"5,070.6","4,734.3"
1989/07,"4,914.3","4,581.7"
1989/08,"4,859.0","5,190.9"
1989/09,"5,004.7","4,376.7"
1989/10,"4,723.0","4,777.7"
1989/11,"5,043.0","5,023.4"
1989/12,"5,709.3","5,037.1"
1990/01,"3,797.5","4,196.6"
1990/02,"4,276.4","4,722.5"
1990/03,"5,135.5","5,453.7"
1990/04,"4,678.7","4,903.9"
1990/05,"4,807.6","5,214.2"
1990/06,"5,152.2","5,071.2"
1990/07,"5,008.2","4,750.1"
1990/08,"5,077.8","5,028.3"
1990/09,"5,770.0","5,664.9"
1990/10,"4,722.4","5,466.1"
1990/11,"5,294.1","6,925.4"
1990/12,"6,140.9","5,744.7"
1991/01,"4,390.6","5,719.6"
1991/02,"4,716.3","6,083.6"
1991/03,"5,341.9","6,249.9"
1991/04,"5,303.6","6,240.2"
1991/05,"5,672.2","6,319.1"
1991/06,"6,087.4","6,045.0"
1991/07,"5,693.4","6,461.1"
1991/08,"5,442.7","5,955.5"
1991/09,"5,529.2","5,879.0"
1991/10,"6,197.0","6,435.4"
1991/11,"6,188.4","6,700.3"
1991/12,"6,838.1","6,025.2"
1992/01,"5,745.5","6,652.7"
1992/02,"4,975.3","5,617.8"
1992/03,"6,116.8","6,528.0"
1992/04,"6,252.1","6,292.1"
1992/05,"6,230.9","6,305.4"
1992/06,"6,638.9","6,649.4"
1992/07,"6,222.9","6,604.4"
1992/08,"5,918.9","5,600.9"
1992/09,"6,118.2","5,644.3"
1992/10,"6,657.6","6,591.4"
1992/11,"5,945.0","5,774.5"
1992/12,"6,666.9","6,186.9"
1993/01,"5,189.2","5,930.9"
1993/02,"5,751.5","6,080.8"
1993/03,"6,727.5","6,621.1"
1993/04,"6,672.6","6,355.9"
1993/05,"6,698.9","6,566.0"
1993/06,"6,969.3","6,952.6"
1993/07,"6,789.6","6,630.3"
1993/08,"6,450.8","6,108.8"
1993/09,"7,169.7","6,507.3"
1993/10,"6,519.9","6,446.8"
1993/11,"7,489.0","6,660.1"
1993/12,"8,361.6","6,897.6"
1994/01,"6,283.4","7,169.0"
1994/02,"6,023.6","6,159.8"
1994/03,"7,459.5","7,767.9"
1994/04,"7,417.5","7,611.6"
1994/05,"7,123.7","7,676.6"
1994/06,"8,118.9","7,930.7"
1994/07,"7,705.1","7,695.7"
1994/08,"7,025.9","8,059.8"
1994/09,"8,146.8","8,140.6"
1994/10,"8,463.5","8,410.7"
1994/11,"8,735.3","8,689.7"
1994/12,"9,476.9","10,199.4"
1995/01,"7,660.1","8,450.3"
1995/02,"8,086.5","9,434.2"
1995/03,"9,569.9","11,014.9"
1995/04,"9,820.8","10,337.7"
1995/05,"10,313.2","11,135.6"
1995/06,"10,448.3","11,095.3"
1995/07,"10,314.5","10,435.1"
1995/08,"9,766.2","10,546.3"
1995/09,"10,374.9","10,945.2"
1995/10,"10,751.7","10,805.3"
1995/11,"10,918.3","10,791.5"
1995/12,"11,553.3","11,104.6"
1996/01,"9,869.7","11,402.0"
1996/02,"9,419.1","10,852.8"
1996/03,"10,619.5","11,644.1"
1996/04,"10,634.4","12,039.9"
1996/05,"10,865.0","11,853.2"
1996/06,"10,403.0","11,202.9"
1996/07,"10,032.6","11,685.5"
1996/08,"9,216.3","12,067.9"
1996/09,"9,927.3","10,639.9"
1996/10,"10,774.0","12,577.8"
1996/11,"10,979.8","12,759.5"
1996/12,"11,686.7","12,400.8"
1997/01,"9,665.7","12,421.6"
1997/02,"8,577.8","10,919.2"
1997/03,"11,705.5","12,377.5"
1997/04,"11,190.5","12,243.6"
1997/05,"11,877.9","11,673.3"
1997/06,"12,722.7","11,459.4"
1997/07,"11,674.7","11,912.9"
1997/08,"10,416.9","11,257.1"
