통계표,"8.4.5 교역조건지수"
항목명1,"순상품교역조건지수"
단위,"2010=100"
변환,"원자료"
1988/01,"199.92"
1988/02,"200.46"
1988/03,"199.56"
1988/04,"199.71"
1988/05,"194.99"
1988/06,"193.82"
1988/07,"197.16"
1988/08,"200.69"
1988/09,"203.07"
1988/10,"205.06"
1988/11,"202.99"
1988/12,"202.96"
1989/01,"202.56"
1989/02,"202.75"
1989/03,"201.96"
1989/04,"204.05"
1989/05,"208.41"
1989/06,"211.45"
1989/07,"213.12"
1989/08,"215.76"
1989/09,"216.51"
1989/10,"215.98"
1989/11,"219.8"
1989/12,"222.44"
1990/01,"224.36"
1990/02,"226.5"
1990/03,"226.23"
1990/04,"227.67"
1990/05,"229.55"
1990/06,"231.17"
1990/07,"226.86"
1990/08,"213.58"
1990/09,"202.53"
1990/10,"200.75"
1990/11,"205.04"
1990/12,"209.54"
1991/01,"214.58"
1991/02,"222.88"
1991/03,"225.47"
1991/04,"227.29"
1991/05,"228.81"
1991/06,"232.37"
1991/07,"232.92"
1991/08,"232.93"
1991/09,"232.15"
1991/10,"231.83"
1991/11,"232.4"
1991/12,"234.95"
1992/01,"235.62"
1992/02,"235.79"
1992/03,"234.75"
1992/04,"233.48"
1992/05,"231.7"
1992/06,"229.77"
1992/07,"231.04"
1992/08,"232.22"
1992/09,"232.62"
1992/10,"233.49"
1992/11,"235.04"
1992/12,"234.15"
1993/01,"234.56"
1993/02,"228.96"
1993/03,"226.62"
1993/04,"225.09"
1993/05,"225.27"
1993/06,"227.61"
1993/07,"230.14"
1993/08,"231.74"
1993/09,"231.92"
1993/10,"232.94"
1993/11,"235.53"
1993/12,"235.18"
1994/01,"232.21"
1994/02,"228.85"
1994/03,"228.96"
1994/04,"227.49"
1994/05,"226.55"
1994/06,"224.2"
1994/07,"221.59"
1994/08,"221.63"
1994/09,"221.63"
1994/10,"220.27"
1994/11,"219.12"
1994/12,"217.51"
1995/01,"215.94"
1995/02,"214.61"
1995/03,"211.67"
1995/04,"212.24"
1995/05,"216.36"
1995/06,"218.65"
1995/07,"221.05"
1995/08,"223.04"
1995/09,"222.36"
1995/10,"221.81"
1995/11,"220.12"
1995/12,"219.81"
1996/01,"222.32"
1996/02,"221.57"
1996/03,"218.68"
1996/04,"216.73"
1996/05,"214.64"
1996/06,"210.37"
1996/07,"206.49"
1996/08,"202.55"
1996/09,"200.53"
1996/10,"199.89"
1996/11,"199.24"
1996/12,"198.62"
1997/01,"200.55"
1997/02,"201.66"
1997/03,"204.38"
1997/04,"204.31"
1997/05,"202.9"
1997/06,"204.31"
1997/07,"204.19"
1997/08,"202.73"
1997/09,"199.83"
1997/10,"199.01"
1997/11,"202.68"
1997/12,"208.08"
1998/01,"208.3"
1998/02,"207.38"
1998/03,"204.71"
1998/04,"201.56"
1998/05,"203.54"
1998/06,"202.96"
1998/07,"200.91"
1998/08,"198.66"
1998/09,"194.26"
1998/10,"195.48"
1998/11,"199.41"
1998/12,"199.25"
1999/01,"200.46"
1999/02,"201.15"
