통계표,"8.4.5 교역조건지수"
항목명1,"소득교역조건지수"
단위,"2010=100"
변환,"원자료"
1988/01,"18.47"
1988/02,"18.98"
1988/03,"21.87"
1988/04,"20.61"
1988/05,"20.12"
1988/06,"20.97"
1988/07,"22.14"
1988/08,"21.55"
1988/09,"22.32"
1988/10,"21.9"
1988/11,"23.02"
1988/12,"26.08"
1989/01,"18.29"
1989/02,"17.9"
1989/03,"22.03"
1989/04,"19.69"
1989/05,"20.82"
1989/06,"22.65"
1989/07,"21.89"
1989/08,"22.65"
1989/09,"23.08"
1989/10,"22.18"
1989/11,"23.96"
1989/12,"25.96"
1990/01,"17.75"
1990/02,"20.54"
1990/03,"23.55"
1990/04,"21.99"
1990/05,"23.67"
1990/06,"24.92"
1990/07,"24.09"
1990/08,"22.08"
1990/09,"23.92"
1990/10,"19.81"
1990/11,"23.37"
1990/12,"26.47"
1991/01,"19.91"
1991/02,"21.15"
1991/03,"24.49"
1991/04,"25.12"
1991/05,"26.38"
1991/06,"28.28"
1991/07,"25.27"
1991/08,"25.13"
1991/09,"25.37"
1991/10,"28.14"
1991/11,"27.61"
1991/12,"31.44"
1992/01,"24.76"
1992/02,"23.06"
1992/03,"27.94"
1992/04,"28.23"
1992/05,"27.67"
1992/06,"30.12"
1992/07,"28.69"
1992/08,"27.29"
1992/09,"28.22"
1992/10,"30.49"
1992/11,"28.37"
1992/12,"31.94"
1993/01,"24.09"
1993/02,"26.31"
1993/03,"30.07"
1993/04,"29.89"
1993/05,"28.97"
1993/06,"31.09"
1993/07,"30.54"
1993/08,"29.04"
1993/09,"32.1"
1993/10,"30.66"
1993/11,"31.8"
1993/12,"35.63"
1994/01,"27.56"
1994/02,"26.66"
1994/03,"33.82"
1994/04,"32.99"
1994/05,"33.35"
1994/06,"35.04"
1994/07,"33.06"
1994/08,"32.14"
1994/09,"33.87"
1994/10,"35.93"
1994/11,"36.83"
1994/12,"41.13"
1995/01,"31.2"
1995/02,"32.9"
1995/03,"38.61"
1995/04,"37.69"
1995/05,"39.57"
1995/06,"41.48"
1995/07,"40.69"
1995/08,"40.62"
1995/09,"41.36"
1995/10,"44.74"
1995/11,"43.94"
1995/12,"45.22"
1996/01,"40.28"
1996/02,"39.17"
1996/03,"44.33"
1996/04,"42.37"
1996/05,"42.54"
1996/06,"42.18"
1996/07,"39.77"
1996/08,"38.24"
1996/09,"39.71"
1996/10,"44.58"
1996/11,"44.39"
1996/12,"46.89"
1997/01,"37"
1997/02,"37.77"
1997/03,"46.07"
1997/04,"46.81"
1997/05,"48.74"
1997/06,"50.49"
1997/07,"48.64"
1997/08,"46.1"
1997/09,"46.74"
1997/10,"51.11"
1997/11,"49.68"
1997/12,"52.42"
1998/01,"42.54"
1998/02,"52.36"
1998/03,"55.7"
1998/04,"54.06"
1998/05,"54.61"
1998/06,"51.71"
1998/07,"50.01"
1998/08,"46.59"
1998/09,"51.77"
1998/10,"52.23"
1998/11,"54.68"
1998/12,"57.78"
1999/01,"48.51"
1999/02,"48.34"
1999/03,"57.95"
1999/04,"55.51"
1999/05,"56.18"
1999/06,"59.8"
1999/07,"56.63"
1999/08,"51.91"
1999/09,"54.17"
1999/10,"60.7"
1999/11,"60.63"
1999/12,"61.07"
2000/01,"53.53"
2000/02,"52.97"
2000/03,"61.77"
2000/04,"57.53"
2000/05,"61.69"
2000/06,"64.25"
2000/07,"62.29"
2000/08,"62.14"
2000/09,"64.09"
2000/10,"64.81"
2000/11,"65.55"
2000/12,"64.95"
2001/01,"53.98"
2001/02,"58.37"
2001/03,"63.41"
2001/04,"54.98"
2001/05,"58.57"
2001/06,"58.69"
2001/07,"53.23"
2001/08,"55.37"
2001/09,"61.27"
2001/10,"60.22"
2001/11,"63.83"
2001/12,"59.7"
2002/01,"58.77"
2002/02,"53.35"
2002/03,"63.81"
2002/04,"63.69"
2002/05,"65.84"
2002/06,"60.26"
2002/07,"64.35"
2002/08,"64.58"
2002/09,"63.9"
2002/10,"73.19"
2002/11,"69.52"
